localidades,contagem
"Vossa Excelência participando-lho
Se",1
"Lisboa
",1
Falou-me,1
Irei,1
"Srª D
Filomena
Este dinheiro",1
Pense,1
Piano,2
Noutra,1
Procurei Antunes,1
"Carlos pernoitava
Disseram-me",1
Pude,1
Leia,1
Terminava,1
Hotel das Duas,1
Rua do Arsenal,1
"Sr
Antunes",1
"Carlos
- E o Sr
Antunes",1
Paguei,1
Levarei,1
"Deus quiser
",1
Pedirei,1
Sinto,1
"Carlos Pereira
Preciso",1
Fazem-me,1
Eduardo Pereira?,1
"Eduardo Pereira?
     - Sim",1
Minhas,1
Mandei,1
Cassilda Arcourt!,1
Queiram,1
Perguntou,1
bela jóia,1
Rua Augusta,1
Campolide,1
"Carlos
",1
rosto Carlos,1
Parei,1
Vives sozinho?,1
"Campo Grande..
odiava-te.",1
Tua,1
Ora,1
"Carlos de golpe
- Espere",1
Iremos,1
"Sorri involuntariamente
",1
Relatei,1
Ungir,1
Comuniquei,1
Saiu Filomena,1
Acho,1
Abra-me,1
"Sr
Carlos?
     - Que",1
minha senhora -,1
Lágrimas,1
órfã,1
cemitério dos Prazeres,1
Rua dos Capelistas,1
Carlos Pereira?,1
Viúva,1
Levei,1
Ouviu-me,1
Escrito,1
Eduardo Pereira,1
"Cassilda Arcourt
     
     ",1
Daqui,1
Dão-lhes,1
"Cassilda Arcourt
Esta mulher",1
Fatalidade,1
Levado,1
Estavam,1
Alugou,1
Olhou,1
Bairro Alto,1
Passeio do Rossio,1
Basta-me,1
"Carlos Pereira?
     -",1
índia,1
"Buenos Aires
Aqui",1
cadeau,1
Tolheste-me,1
